date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,25.92,26.15,24.67,25.56,34850727.0
2020-04-27,25.985,26.34,24.87,25.0,35980034.0
2020-04-28,25.86,28.43,25.5,27.84,59812102.0
2020-04-29,29.58,31.84,29.49,31.21,52643463.0
2020-04-30,29.66,31.07,28.32,29.58,44896845.0
2020-05-01,28.1,29.25,26.13,26.62,47710309.0
2020-05-04,23.91,25.56,22.76,25.26,63152395.0
2020-05-05,26.04,26.35,23.98,24.12,35651671.0
2020-05-06,23.96,24.35,22.385,22.91,43355299.0
2020-05-07,22.96,24.45,22.4498,22.75,44179275.0
2020-05-08,23.58,25.44,23.32,25.42,55613248.0
2020-05-11,24.5,24.64,23.46,23.97,47485794.0
2020-05-12,23.95,24.4627,22.74,22.76,40420913.0
2020-05-13,22.51,22.64,20.33,20.71,59007864.0
2020-05-14,19.72,20.43,18.18,20.3,74107763.0
2020-05-15,19.67,20.9599,19.28,19.92,39807953.0
2020-05-18,21.79,24.26,21.46,24.13,72914839.0
2020-05-19,25.62,25.67,23.33,23.68,81387952.0
2020-05-20,24.38,25.39,24.3,24.91,56271963.0
2020-05-21,25.09,26.58,25.0,25.84,53172237.0
2020-05-22,26.38,26.58,24.67,25.4,45062054.0
2020-05-26,27.48,29.88,27.45,29.54,88220681.0
2020-05-27,32.25,32.75,28.535,30.69,89323153.0
2020-05-28,30.0,30.0,28.53,28.89,57401175.0
2020-05-29,27.11,28.88,26.65,28.04,64483619.0
2020-06-01,28.19,30.29,27.9534,29.46,57585068.0
2020-06-02,30.12,30.92,29.31,29.91,47473423.0
2020-06-03,30.75,33.9,30.39,33.65,85543749.0
2020-06-04,35.77,39.85,34.14,39.1,142812822.0
2020-06-05,48.95,48.95,41.26,42.405,135585062.0
2020-06-08,45.86,48.85,44.57,48.69,89957309.0
2020-06-09,45.0,46.1,41.5,44.64,79612837.0
2020-06-10,42.04,42.6,38.3,39.72,105254914.0
2020-06-11,33.255,36.38,32.22,33.32,104768771.0
2020-06-12,37.51,39.68,36.15,39.66,98882648.0
2020-06-15,36.04,39.87,35.51,39.0,102434837.0
2020-06-16,42.51,42.75,39.52,40.21,71155208.0
2020-06-17,39.09,39.77,38.22,39.25,60125887.0
2020-06-18,37.65,40.2,37.5,39.34,64927112.0
2020-06-19,39.94,40.26,35.7626,36.84,101013889.0
2020-06-22,35.18,37.1,35.0,36.54,65256605.0
2020-06-23,36.56,36.88,34.37,36.08,63531776.0
2020-06-24,34.68,35.23,32.62,33.07,65450849.0
2020-06-25,31.35,34.7566,31.03,34.69,72479467.0
2020-06-26,34.5,34.61,32.0,32.89,58993341.0
2020-06-29,33.2,35.5,31.805,35.27,64905787.0
2020-06-30,34.6,35.36,33.23,34.61,54406449.0
2020-07-01,36.92,38.37,34.03,34.45,87861988.0
2020-07-02,35.88,36.08,33.95,34.14,53576926.0
2020-07-06,34.76,35.41,33.52,35.21,46540285.0
2020-07-07,34.07,34.12,32.38,32.55,47341121.0
2020-07-08,31.62,33.03,31.32,32.53,55867610.0
2020-07-09,32.0,32.49,29.96,30.17,53319720.0
2020-07-10,29.38,32.9,29.23,32.67,80476339.0
2020-07-13,33.23,33.37,31.01,31.76,56572983.0
2020-07-14,30.7,32.32,30.42,31.74,44172199.0
2020-07-15,34.13,36.78,33.16,36.37,84742146.0
2020-07-16,34.6,35.38,33.88,34.49,53333158.0
2020-07-17,34.27,34.98,33.48,33.92,37397502.0
2020-07-20,33.9,34.39,32.18,32.33,36296011.0
2020-07-21,32.64,33.78,32.46,33.07,44311901.0
